planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
8552,M,2989.590022883612,11.404369049342899,1.281327494443711,49.09216778599235,193.26372003980677,False,earth_like,0.09858768780571327,9.855594584940736,1.0,5,104.01376026537655,True,46.25710374679113,1.862510731933365
8552,M,2989.590022883612,11.404369049342899,1.281327494443711,49.09216778599235,193.26372003980677,False,earth_like,0.09858768780571327,9.855594584940736,1.0,10,130.4006543595474,True,35.61906312822248,1.862510731933365
8552,M,2989.590022883612,11.404369049342899,1.281327494443711,49.09216778599235,193.26372003980677,False,earth_like,0.09858768780571327,9.855594584940736,1.0,20,154.63030455328814,True,28.88034269867747,1.862510731933365
8553,M,3676.827603660482,8.2099860120023,2.256527200817109,16.827211137665135,251.78585690396514,True,hycean,0.010686028467359332,7.822402333982014,0.002,5,1916.628160869191,True,21.176716712352263,3.6665966290106153
8553,M,3676.827603660482,8.2099860120023,2.256527200817109,16.827211137665135,251.78585690396514,True,hycean,0.010686028467359332,7.822402333982014,0.002,10,1977.8676416213518,True,20.596371288028806,3.6665966290106153
8553,M,3676.827603660482,8.2099860120023,2.256527200817109,16.827211137665135,251.78585690396514,True,hycean,0.010686028467359332,7.822402333982014,0.002,20,2012.5855564918231,True,20.300276365697606,3.6665966290106153
8554,M,3382.422177535169,10.72573177395782,3.0214593943134136,46.787459108520366,447.27097699289345,False,high_co2,0.5188421692308025,8.597526449528846,0.01,5,78.82527808159563,True,39.72846611483611,1.5156921505849552
8554,M,3382.422177535169,10.72573177395782,3.0214593943134136,46.787459108520366,447.27097699289345,False,high_co2,0.5188421692308025,8.597526449528846,0.01,10,99.85771586550764,True,31.451165371137996,1.5156921505849552
8554,M,3382.422177535169,10.72573177395782,3.0214593943134136,46.787459108520366,447.27097699289345,False,high_co2,0.5188421692308025,8.597526449528846,0.01,20,121.03554122071941,True,26.355038763251905,1.5156921505849552
8555,M,3676.1772060227795,9.008770762758395,2.128991205917291,24.30271954811566,828.6064316076851,False,hycean,0.6087247217018817,8.253064646664601,0.002,5,594.5251932730733,True,27.08596733890745,1.1135981640015322
8555,M,3676.1772060227795,9.008770762758395,2.128991205917291,24.30271954811566,828.6064316076851,False,hycean,0.6087247217018817,8.253064646664601,0.002,10,670.8087334049234,True,23.80038442210011,1.1135981640015322
